event_id,account_id,home_city,timestamp,agent_id,agent_recent_swap_count,distance_from_home_km,device_changed,hours_to_activation,txn_attempts_1h,txn_value_1h_naira,hour_of_day,ground_truth_fraud
1,ACC-100001,Port Harcourt,2026-08-29T07:06:45.278Z,AG-1000,3,19.2,0,12.22,1,2727,19,0
2,ACC-100002,Abuja,2026-08-13T07:06:45.290Z,AG-1034,0,0,1,37.46,0,0,6,0
3,ACC-100003,Port Harcourt,2026-07-09T07:06:45.290Z,AG-1006,2,0,0,21.88,0,0,22,0
4,ACC-100004,Abuja,2026-07-23T07:06:45.290Z,AG-1023,1,68.2,0,27.38,0,0,18,0
5,ACC-100005,Lagos,2026-07-03T07:06:45.290Z,AG-1025,0,0,0,30.1,0,0,16,0
6,ACC-100006,Ibadan,2026-06-18T07:06:45.290Z,AG-1035,1,72.7,0,8.2,1,0,13,0
7,ACC-100007,Port Harcourt,2026-06-28T07:06:45.290Z,AG-1034,0,6.2,0,9.35,1,0,11,0
8,ACC-100008,Ibadan,2026-08-29T07:06:45.290Z,AG-1035,2,0,0,12.02,0,0,20,0
9,ACC-100009,Ibadan,2026-07-16T07:06:45.291Z,AG-1028,2,15.6,0,24.16,1,0,12,0
10,ACC-100010,Port Harcourt,2026-07-06T07:06:45.291Z,AG-1015,2,2.8,1,21.62,2,0,10,0
11,ACC-100011,Port Harcourt,2026-06-18T07:06:45.291Z,AG-1028,1,0,0,12.64,1,0,22,0
12,ACC-100012,Port Harcourt,2026-07-16T07:06:45.291Z,AG-1006,2,39.8,1,2.98,1,0,9,0
13,ACC-100013,Kano,2026-07-05T07:06:45.291Z,AG-1012,1,29.6,0,20.9,1,0,15,0
14,ACC-100014,Kano,2026-07-24T07:06:45.291Z,AG-1034,2,27.4,0,20.62,0,0,13,0
15,ACC-100015,Lagos,2026-08-21T07:06:45.291Z,AG-1017,2,11.4,0,12.3,0,0,12,0
16,ACC-100016,Ibadan,2026-07-29T07:06:45.291Z,AG-1016,3,18.9,1,19.81,0,0,22,0
17,ACC-100017,Abuja,2026-08-25T07:06:45.291Z,AG-1028,1,11.7,1,6.87,0,0,18,0
18,ACC-100018,Ibadan,2026-07-13T07:06:45.291Z,AG-1031,1,21.7,1,18.81,0,11216,8,0
19,ACC-100019,Ibadan,2026-07-28T07:06:45.291Z,AG-1031,0,0,0,0.26,1,0,18,0
20,ACC-100020,Abuja,2026-06-09T07:06:45.291Z,AG-1005,3,10.3,0,19.06,0,0,6,0
21,ACC-100021,Lagos,2026-06-25T07:06:45.291Z,AG-1006,2,87.9,1,10.6,0,0,17,0
22,ACC-100022,Kano,2026-08-07T07:06:45.291Z,AG-1029,1,17.2,1,15.84,1,0,15,0
23,ACC-100023,Ibadan,2026-07-08T07:06:45.291Z,AG-1002,2,0,1,26,1,0,11,0
24,ACC-100024,Ibadan,2026-08-03T07:06:45.291Z,AG-1036,0,19.1,0,9.48,1,0,11,0
25,ACC-100025,Port Harcourt,2026-07-20T07:06:45.291Z,AG-1030,1,62.6,0,18.22,0,0,13,0
26,ACC-100026,Lagos,2026-08-03T07:06:45.291Z,AG-1031,3,7.6,1,10.87,0,0,14,0
27,ACC-100027,Kano,2026-07-18T07:06:45.291Z,AG-1011,1,23.3,1,11.18,1,0,20,0
28,ACC-100028,Lagos,2026-06-18T07:06:45.291Z,AG-1007,1,8.9,0,1.99,0,0,20,0
29,ACC-100029,Kano,2026-07-19T07:06:45.291Z,AG-1022,1,83.8,0,0,1,0,18,0
30,ACC-100030,Ibadan,2026-07-15T07:06:45.291Z,AG-1020,0,12.3,0,5.68,0,0,20,0
31,ACC-100031,Lagos,2026-06-14T07:06:45.291Z,AG-1003,0,22.4,1,0,1,14356,6,0
32,ACC-100032,Lagos,2026-07-31T07:06:45.291Z,AG-1029,1,0,0,12.97,1,0,19,0
33,ACC-100033,Ibadan,2026-07-21T07:06:45.291Z,AG-1016,0,0,1,23.74,2,13554,21,0
34,ACC-100034,Lagos,2026-09-04T07:06:45.291Z,AG-1018,4,84.5,0,12.79,0,0,22,0
35,ACC-100035,Ibadan,2026-08-02T07:06:45.291Z,AG-1033,0,0,0,9.22,0,0,21,0
36,ACC-100036,Abuja,2026-07-20T07:06:45.291Z,AG-1006,5,0,1,11.79,2,0,21,0
37,ACC-100037,Lagos,2026-07-23T07:06:45.292Z,AG-1011,0,11.1,1,17.17,0,683,14,0
